year,era,wealth,happiness
1980,1980s,98.8,6.91
1980,1980s,55.7,4.93
1980,1980s,43.7,4.17
1980,1980s,56.5,4.52
1980,1980s,16.9,3.3
1980,1980s,20.3,2.68
1980,1980s,22.2,3.6
1980,1980s,28.4,4.02
1980,1980s,81.0,5.84
1980,1980s,30.4,3.76
1980,1980s,45.2,4.7
1980,1980s,159.0,7.1
1980,1980s,45.9,4.26
1980,1980s,104.3,6.87
1980,1980s,29.8,3.68
1980,1980s,51.4,5.02
1980,1980s,29.4,2.94
1980,1980s,46.5,5.0
1980,1980s,112.7,6.9
1980,1980s,16.4,3.09
1980,1980s,83.1,5.94
1980,1980s,71.7,5.63
1980,1980s,38.4,3.99
1980,1980s,20.3,3.49
1980,1980s,63.3,4.89
1980,1980s,40.3,4.08
1980,1980s,71.4,5.82
1980,1980s,61.0,5.44
1980,1980s,199.5,7.15
1980,1980s,50.1,4.44
1980,1980s,27.8,3.48
1980,1980s,68.6,5.6
1980,1980s,70.8,5.06
1980,1980s,166.3,7.24
1980,1980s,112.2,6.64
1980,1980s,78.4,5.59
1980,1980s,179.8,7.6
1980,1980s,24.6,3.43
1980,1980s,37.1,4.08
1980,1980s,29.9,3.47
1980,1980s,44.8,4.84
1980,1980s,21.4,3.09
1980,1980s,96.6,6.19
1980,1980s,50.8,4.7
1980,1980s,19.9,2.91
1980,1980s,28.0,3.5
1980,1980s,75.9,6.04
1980,1980s,112.5,6.45
1980,1980s,268.2,7.38
1980,1980s,533.7,8.11
1980,1980s,81.9,5.66
1980,1980s,28.6,4.95
1980,1980s,12.1,2.92
1980,1980s,73.3,5.35
1980,1980s,32.6,4.44
1980,1980s,43.9,3.81
1980,1980s,37.9,4.22
1980,1980s,54.0,5.54
1980,1980s,133.5,6.68
1980,1980s,67.5,4.7
1980,1980s,53.3,4.68
1980,1980s,27.6,4.2
1980,1980s,17.1,3.25
1980,1980s,41.7,4.06
1980,1980s,57.6,4.74
1980,1980s,225.9,7.36
1980,1980s,66.2,5.39
1980,1980s,125.4,7.07
1980,1980s,41.3,4.71
1980,1980s,24.7,3.7
1980,1980s,29.1,3.3
1980,1980s,34.8,3.58
1980,1980s,296.1,8.0
1980,1980s,32.4,3.46
1980,1980s,112.5,6.3
1980,1980s,30.5,3.94
1980,1980s,120.7,6.12
1980,1980s,80.1,5.31
1980,1980s,53.3,4.79
1980,1980s,58.2,5.17
1980,1980s,36.7,4.51
1980,1980s,83.8,5.98
1980,1980s,42.7,4.42
1980,1980s,23.9,3.24
1980,1980s,23.0,3.07
1980,1980s,68.3,5.15
1980,1980s,196.1,7.52
1980,1980s,67.6,5.43
1980,1980s,54.9,4.14
1980,1980s,74.3,5.24
1980,1980s,159.8,7.47
1980,1980s,70.7,5.43
1980,1980s,44.1,3.96
1980,1980s,137.6,7.6
1980,1980s,82.8,5.73
1980,1980s,189.8,7.46
1980,1980s,68.8,5.49
1980,1980s,24.0,3.37
1980,1980s,21.5,3.11
1980,1980s,207.0,8.19
1980,1980s,218.6,7.87
1980,1980s,52.4,5.08
1980,1980s,45.0,4.7
1980,1980s,179.5,6.89
1980,1980s,26.2,4.06
1980,1980s,30.7,3.55
1980,1980s,97.2,6.18
1980,1980s,44.6,3.91
1980,1980s,59.8,4.34
1980,1980s,53.1,4.92
1981,1980s,77.3,5.31
1981,1980s,172.4,6.48
1981,1980s,64.2,5.39
1981,1980s,97.3,6.82
1981,1980s,12.9,3.35
1981,1980s,57.8,4.9
1981,1980s,31.9,3.91
1981,1980s,24.1,3.82
1981,1980s,31.1,4.26
1981,1980s,46.7,4.44
1981,1980s,119.3,6.51
1981,1980s,22.2,3.51
1981,1980s,61.4,5.3
1981,1980s,41.7,4.31
1981,1980s,46.9,4.53
1981,1980s,127.3,7.11
1981,1980s,89.8,6.34
1981,1980s,163.6,7.26
1981,1980s,53.4,5.43
1981,1980s,35.6,3.95
1981,1980s,50.7,5.29
1981,1980s,72.0,5.63
1981,1980s,68.5,6.48
1981,1980s,26.6,3.22
1981,1980s,64.2,4.96
1981,1980s,71.2,5.56
1981,1980s,396.4,8.09
1981,1980s,245.2,8.33
1981,1980s,31.6,3.66
1981,1980s,48.4,4.95
1981,1980s,20.0,3.69
1981,1980s,38.5,4.46
1981,1980s,76.0,5.22
1981,1980s,148.2,7.41
1981,1980s,34.7,4.47
1981,1980s,36.7,4.35
1981,1980s,12.0,2.88
1981,1980s,53.1,4.89
1981,1980s,27.0,3.64
1981,1980s,40.3,4.52
1981,1980s,31.1,3.88
1981,1980s,55.9,4.62
1981,1980s,16.1,2.69
1981,1980s,20.0,3.02
1981,1980s,296.3,7.89
1981,1980s,22.8,3.43
1981,1980s,26.4,3.7
1981,1980s,237.9,7.79
1981,1980s,530.1,7.79
1981,1980s,24.9,4.07
1981,1980s,45.5,4.42
1981,1980s,77.5,5.45
1981,1980s,219.4,7.69
1981,1980s,28.6,3.1
1981,1980s,49.9,4.42
1981,1980s,107.5,6.63
1981,1980s,83.1,5.14
1981,1980s,45.3,4.9
1981,1980s,54.3,5.39
1981,1980s,21.4,3.23
1981,1980s,50.2,4.8
1981,1980s,49.1,5.05
1981,1980s,71.4,5.26
1981,1980s,39.6,4.57
1981,1980s,85.5,5.57
1981,1980s,128.2,6.47
1981,1980s,67.4,5.02
1981,1980s,78.1,5.74
1981,1980s,62.4,5.55
1981,1980s,60.0,5.0
1981,1980s,34.9,3.61
1981,1980s,76.1,5.18
1981,1980s,55.8,5.05
1981,1980s,288.4,8.43
1981,1980s,195.3,7.5
1981,1980s,80.1,5.53
1981,1980s,33.9,4.27
1981,1980s,26.1,3.53
1981,1980s,146.6,6.76
1981,1980s,73.1,5.14
1981,1980s,86.0,6.31
1981,1980s,16.2,2.18
1981,1980s,120.3,6.79
1981,1980s,84.4,5.62
1981,1980s,26.1,3.47
1981,1980s,42.1,4.97
1981,1980s,73.1,5.22
1981,1980s,62.4,4.9
1981,1980s,48.2,4.58
1981,1980s,55.5,5.05
1981,1980s,49.7,4.53
1981,1980s,67.3,4.75
1981,1980s,180.9,6.95
1981,1980s,8.8,3.05
1981,1980s,50.2,4.73
1981,1980s,68.5,5.49
1981,1980s,74.9,5.43
1981,1980s,45.4,4.28
1981,1980s,16.1,3.64
1981,1980s,76.7,5.51
1981,1980s,219.2,7.36
1981,1980s,19.0,3.61
1981,1980s,114.7,6.16
1981,1980s,46.9,4.36
1981,1980s,57.3,4.97
1981,1980s,27.2,3.67
1981,1980s,46.7,4.66
1981,1980s,159.1,7.77
1981,1980s,92.9,6.1
1981,1980s,220.0,6.69
1981,1980s,145.1,6.99
1981,1980s,83.4,5.77
1981,1980s,221.9,7.55
1981,1980s,83.4,5.84
1981,1980s,111.6,6.35
1981,1980s,48.0,4.6
1981,1980s,63.1,5.38
1981,1980s,35.6,3.89
1981,1980s,126.0,6.28
1981,1980s,24.8,4.6
1981,1980s,107.9,6.04
1981,1980s,52.0,4.81
1981,1980s,144.4,6.35
1981,1980s,105.4,6.29
1981,1980s,235.1,7.27
1981,1980s,103.8,6.06
1981,1980s,18.5,3.56
1981,1980s,57.1,5.12
1981,1980s,24.9,3.75
1981,1980s,40.7,3.69
1981,1980s,186.4,7.94
1981,1980s,96.8,5.65
1981,1980s,35.5,4.61
1981,1980s,28.1,4.07
1981,1980s,61.5,5.31
1981,1980s,24.1,3.21
1981,1980s,36.3,4.17
1981,1980s,75.8,5.39
1981,1980s,142.7,6.86
1981,1980s,94.7,5.94
1981,1980s,10.8,2.02
1981,1980s,75.4,5.93
1981,1980s,63.3,5.14
1981,1980s,81.8,5.55
1981,1980s,201.6,7.22
1981,1980s,12.8,2.98
1981,1980s,38.5,3.9
1981,1980s,93.5,5.21
1981,1980s,18.3,3.33
1981,1980s,181.5,7.44
1981,1980s,79.1,5.57
1981,1980s,113.2,5.99
1981,1980s,39.1,4.27
1981,1980s,110.5,5.83
1981,1980s,133.7,6.36
1981,1980s,71.5,5.16
1981,1980s,71.5,5.72
1981,1980s,73.5,5.36
1981,1980s,31.4,3.73
1981,1980s,53.7,5.52
1981,1980s,53.5,4.95
1981,1980s,80.0,5.78
1981,1980s,127.0,6.49
1981,1980s,27.1,3.46
1981,1980s,54.6,4.1
1981,1980s,182.3,7.6
1981,1980s,34.4,4.18
1981,1980s,32.4,3.87
1981,1980s,69.8,5.33
1981,1980s,113.0,6.65
1981,1980s,60.5,4.53
1981,1980s,162.6,6.87
1981,1980s,114.1,6.01
1981,1980s,112.8,7.0
1981,1980s,90.9,6.24
1981,1980s,343.8,7.13
1981,1980s,51.4,4.22
1981,1980s,13.4,2.85
1981,1980s,199.8,7.23
1981,1980s,42.6,3.93
1981,1980s,65.1,5.91
1981,1980s,160.2,7.16
1981,1980s,18.0,3.34
1981,1980s,23.5,3.23
1981,1980s,18.1,3.42
1981,1980s,33.1,3.83
1981,1980s,83.4,5.66
1981,1980s,88.9,6.1
1981,1980s,73.8,4.92
1981,1980s,20.8,3.89
1981,1980s,10.6,2.78
1981,1980s,62.5,5.59
1981,1980s,42.1,4.0
1981,1980s,84.7,5.46
1981,1980s,101.6,5.76
1981,1980s,66.6,5.36
1981,1980s,106.1,6.28
1981,1980s,71.3,5.26
1981,1980s,89.3,5.55
1981,1980s,35.4,3.63
1982,1980s,52.4,4.77
1982,1980s,69.5,5.21
1982,1980s,111.0,6.11
1982,1980s,44.7,5.02
1982,1980s,88.7,5.86
1982,1980s,49.2,5.11
1982,1980s,54.9,4.69
1982,1980s,111.8,6.45
1982,1980s,13.5,2.88
1982,1980s,22.7,2.84
1982,1980s,19.7,3.77
1982,1980s,10.4,2.66
1982,1980s,36.1,4.37
1982,1980s,105.3,5.98
1982,1980s,48.5,4.58
1982,1980s,69.6,5.07
1982,1980s,135.8,7.19
1982,1980s,162.4,7.19
1982,1980s,57.0,5.08
1982,1980s,165.6,7.59
1982,1980s,64.3,5.61
1982,1980s,32.0,4.18
1982,1980s,38.4,3.71
1982,1980s,19.8,3.03
1982,1980s,30.8,3.5
1982,1980s,45.9,4.79
1982,1980s,109.6,6.39
1982,1980s,218.1,7.03
1982,1980s,21.3,3.29
1982,1980s,80.6,5.16
1982,1980s,27.5,3.67
1982,1980s,85.7,5.23
1982,1980s,54.4,5.05
1982,1980s,15.2,3.14
1982,1980s,120.4,7.18
1982,1980s,38.1,4.49
1982,1980s,40.2,4.14
1982,1980s,26.9,3.94
1982,1980s,36.7,3.65
1982,1980s,82.7,5.4
1982,1980s,52.1,4.89
1982,1980s,76.8,4.82
1982,1980s,78.7,5.62
1982,1980s,161.6,6.71
1982,1980s,46.4,4.59
1982,1980s,19.8,2.9
1982,1980s,133.6,6.87
1982,1980s,46.8,4.58
1982,1980s,138.4,7.28
1982,1980s,80.0,5.67
1982,1980s,54.4,4.59
1982,1980s,77.9,5.52
1982,1980s,259.2,7.23
1982,1980s,284.9,7.92
1982,1980s,63.2,5.37
1982,1980s,67.7,6.17
1982,1980s,134.5,6.52
1982,1980s,31.8,3.81
1982,1980s,77.0,5.38
1982,1980s,58.8,5.09
1982,1980s,75.9,5.69
1982,1980s,32.1,3.9
1982,1980s,18.2,3.56
1982,1980s,12.7,2.63
1982,1980s,26.0,3.95
1982,1980s,42.5,4.58
1982,1980s,48.2,4.62
1982,1980s,256.5,7.58
1982,1980s,137.5,7.63
1982,1980s,29.2,3.49
1982,1980s,77.9,5.71
1982,1980s,44.2,4.2
1982,1980s,48.5,5.26
1982,1980s,68.9,5.66
1982,1980s,95.5,5.8
1982,1980s,46.5,4.74
1982,1980s,133.3,6.81
1982,1980s,25.5,3.4
1982,1980s,60.3,5.34
1982,1980s,421.0,8.11
1982,1980s,70.9,5.49
1982,1980s,175.8,7.19
1982,1980s,64.3,5.35
1982,1980s,92.8,6.06
1982,1980s,57.5,4.99
1982,1980s,52.8,4.58
1982,1980s,33.4,4.57
1982,1980s,82.9,5.37
1982,1980s,31.7,4.05
1982,1980s,98.8,6.0
1982,1980s,135.4,7.36
1982,1980s,79.0,5.32
1982,1980s,48.4,4.38
1982,1980s,84.3,5.44
1982,1980s,47.6,4.71
1982,1980s,121.0,6.05
1982,1980s,15.2,2.84
1982,1980s,46.6,3.81
1982,1980s,13.5,2.98
1982,1980s,19.6,3.08
1982,1980s,166.9,6.6
1982,1980s,117.4,6.84
1982,1980s,35.0,3.6
1982,1980s,19.4,3.53
1982,1980s,6.5,2.21
1982,1980s,39.9,4.84
1982,1980s,368.6,8.19
1982,1980s,83.1,5.4
1982,1980s,39.4,3.94
1982,1980s,85.0,6.01
1982,1980s,18.6,3.11
1982,1980s,48.0,4.56
1982,1980s,64.6,5.66
1982,1980s,56.2,4.67
1982,1980s,108.6,6.34
1982,1980s,77.7,5.94
1982,1980s,99.0,6.4
1982,1980s,35.8,4.04
1982,1980s,117.6,6.37
1982,1980s,203.6,6.82
1982,1980s,29.0,3.39
1982,1980s,30.8,3.97
1982,1980s,163.4,7.04
1982,1980s,52.0,4.8
1982,1980s,172.0,7.54
1982,1980s,43.1,4.0
1982,1980s,178.7,7.15
1982,1980s,66.2,5.33
1982,1980s,72.8,5.22
1982,1980s,194.0,7.86
1982,1980s,45.7,4.84
1982,1980s,29.6,3.9
1982,1980s,42.9,5.03
1982,1980s,84.2,5.25
1982,1980s,18.5,3.2
1982,1980s,96.8,6.2
1982,1980s,40.1,3.96
1982,1980s,141.9,6.94
1982,1980s,10.0,2.29
1982,1980s,33.3,4.21
1982,1980s,16.9,3.48
1982,1980s,32.3,4.02
1982,1980s,72.2,4.8
1982,1980s,52.5,4.45
1982,1980s,49.6,4.88
1982,1980s,53.2,4.83
1982,1980s,69.9,4.44
1982,1980s,28.2,4.16
1982,1980s,101.9,6.23
1982,1980s,98.6,5.82
1982,1980s,80.1,6.02
1982,1980s,91.1,5.71
1982,1980s,74.9,5.29
1982,1980s,276.1,7.88
1982,1980s,56.2,5.55
1982,1980s,47.7,5.17
1982,1980s,34.1,4.14
1982,1980s,27.7,3.86
1982,1980s,23.6,3.76
1982,1980s,30.8,3.41
1982,1980s,56.9,5.18
1982,1980s,77.1,5.33
1982,1980s,62.3,5.25
1982,1980s,33.8,3.92
1982,1980s,117.9,6.65
1982,1980s,104.5,6.27
1982,1980s,53.2,3.74
1982,1980s,36.8,4.2
1982,1980s,90.5,6.15
1982,1980s,69.1,5.51
1982,1980s,20.3,3.26
1982,1980s,57.0,5.53
1982,1980s,73.0,5.58
1982,1980s,30.6,3.99
1982,1980s,69.2,5.72
1982,1980s,20.2,3.42
1982,1980s,163.4,6.77
1982,1980s,153.0,6.12
1982,1980s,49.6,4.51
1982,1980s,78.8,5.9
1982,1980s,9.8,2.55
1982,1980s,25.2,3.85
1982,1980s,48.1,4.67
1982,1980s,26.8,4.1
1982,1980s,102.5,6.09
1982,1980s,268.4,7.89
1982,1980s,24.8,3.72
1982,1980s,32.0,4.44
1982,1980s,71.6,4.83
1982,1980s,200.9,7.25
1982,1980s,24.0,3.8
1982,1980s,72.3,5.99
1982,1980s,235.2,7.69
1982,1980s,17.4,3.03
1982,1980s,23.0,3.71
1982,1980s,43.7,4.74
1982,1980s,40.6,4.18
1982,1980s,110.4,6.46
1982,1980s,71.9,5.85
1982,1980s,15.8,3.7
1983,1980s,88.3,6.14
1983,1980s,38.9,4.25
1983,1980s,156.1,6.99
1983,1980s,37.5,4.36
1983,1980s,37.2,4.12
1983,1980s,90.0,5.98
1983,1980s,106.3,5.89
1983,1980s,84.0,6.22
1983,1980s,16.9,2.71
1983,1980s,89.8,5.76
1983,1980s,27.6,3.73
1983,1980s,71.6,6.13
1983,1980s,20.6,3.17
1983,1980s,83.9,5.53
1983,1980s,32.8,3.76
1983,1980s,22.9,4.03
1983,1980s,102.5,5.2
1983,1980s,71.9,5.09
1983,1980s,37.9,5.14
1983,1980s,178.2,7.44
1983,1980s,43.1,4.03
1983,1980s,61.5,5.1
1983,1980s,73.4,5.51
1983,1980s,37.7,4.48
1983,1980s,85.4,6.45
1983,1980s,40.2,4.43
1983,1980s,44.1,4.27
1983,1980s,166.7,7.4
1983,1980s,27.5,3.44
1983,1980s,9.8,2.31
1983,1980s,200.8,6.79
1983,1980s,406.0,7.41
1983,1980s,44.3,4.15
1983,1980s,14.0,2.52
1983,1980s,47.5,4.71
1983,1980s,48.4,4.21
1983,1980s,52.0,3.67
1983,1980s,26.0,3.25
1983,1980s,92.7,5.81
1983,1980s,88.9,5.68
1983,1980s,19.6,3.79
1983,1980s,101.4,5.95
1983,1980s,279.7,8.07
1983,1980s,68.3,5.32
1983,1980s,46.6,4.55
1983,1980s,53.9,4.55
1983,1980s,95.2,6.01
1983,1980s,16.4,2.81
1983,1980s,67.9,5.38
1983,1980s,44.8,4.4
1983,1980s,239.9,7.29
1983,1980s,52.7,5.14
1983,1980s,209.6,7.61
1983,1980s,26.2,3.46
1983,1980s,93.2,6.04
1983,1980s,76.2,5.53
1983,1980s,31.3,3.57
1983,1980s,68.5,5.36
1983,1980s,149.0,6.71
1983,1980s,47.1,4.25
1983,1980s,16.9,2.53
1983,1980s,59.2,4.91
1983,1980s,30.5,4.04
1983,1980s,46.4,4.31
1983,1980s,56.4,5.82
1983,1980s,16.7,3.4
1983,1980s,17.9,3.62
1983,1980s,86.1,6.1
1983,1980s,40.5,4.95
1983,1980s,8.8,2.33
1983,1980s,108.1,5.4
1983,1980s,73.6,5.33
1983,1980s,35.1,4.26
1983,1980s,22.3,3.47
1983,1980s,112.3,6.47
1983,1980s,78.0,6.07
1983,1980s,358.3,8.05
1983,1980s,82.2,6.0
1983,1980s,80.2,5.34
1983,1980s,52.9,4.42
1983,1980s,110.7,6.91
1983,1980s,95.9,6.09
1983,1980s,153.4,6.76
1983,1980s,40.6,4.09
1983,1980s,43.3,4.2
1983,1980s,41.9,4.12
1983,1980s,108.6,5.86
1983,1980s,184.6,6.76
1983,1980s,42.5,4.32
1983,1980s,43.6,4.23
1983,1980s,75.9,5.94
1983,1980s,49.9,4.79
1983,1980s,122.5,6.64
1983,1980s,11.1,2.49
1983,1980s,32.3,3.88
1983,1980s,33.4,4.1
1983,1980s,10.5,2.97
1983,1980s,29.1,3.74
1983,1980s,30.2,4.2
1983,1980s,51.6,4.76
1983,1980s,138.3,7.06
1983,1980s,49.9,4.52
1983,1980s,27.7,3.06
1983,1980s,57.5,5.07
1983,1980s,131.8,6.95
1983,1980s,28.9,3.96
1983,1980s,30.3,3.98
1983,1980s,91.2,5.82
1983,1980s,50.8,4.44
1983,1980s,97.5,6.28
1983,1980s,59.4,5.19
1983,1980s,101.6,5.97
1983,1980s,27.6,4.08
1983,1980s,59.5,4.73
1983,1980s,51.2,4.54
1983,1980s,24.1,4.08
1983,1980s,18.6,3.51
1983,1980s,100.3,6.02
1983,1980s,46.1,4.64
1983,1980s,27.9,3.76
1983,1980s,55.8,3.95
1983,1980s,139.8,6.49
1983,1980s,10.8,2.72
1983,1980s,19.5,3.13
1983,1980s,30.0,3.9
1983,1980s,179.5,7.64
1983,1980s,74.2,5.39
1983,1980s,106.7,5.9
1983,1980s,25.5,3.7
1983,1980s,25.9,3.49
1983,1980s,83.9,5.71
1983,1980s,62.7,5.05
1983,1980s,90.5,6.71
1983,1980s,52.1,3.99
1983,1980s,73.9,5.36
1983,1980s,67.6,5.31
1983,1980s,107.5,6.01
1983,1980s,109.9,6.65
1983,1980s,17.8,3.44
1983,1980s,11.1,2.74
1983,1980s,127.2,6.53
1983,1980s,146.2,6.85
1983,1980s,27.9,3.67
1983,1980s,14.9,2.96
1983,1980s,64.6,5.15
1983,1980s,120.6,6.61
1983,1980s,231.0,7.85
1983,1980s,88.4,5.45
1983,1980s,45.4,4.14
1983,1980s,30.7,3.24
1983,1980s,60.5,5.38
1983,1980s,47.9,4.7
1983,1980s,28.0,3.89
1983,1980s,278.9,7.26
1983,1980s,228.9,8.2
1983,1980s,140.7,6.61
1983,1980s,30.1,3.88
1983,1980s,113.9,6.7
1983,1980s,96.9,5.73
1983,1980s,83.6,5.57
1983,1980s,153.2,7.04
1983,1980s,96.6,7.07
1983,1980s,104.5,6.33
1983,1980s,96.7,6.63
1983,1980s,77.5,6.02
1983,1980s,15.7,3.17
1983,1980s,63.9,4.84
1983,1980s,39.5,4.63
1983,1980s,23.0,2.92
1983,1980s,211.8,8.04
1983,1980s,219.4,7.59
1983,1980s,166.3,6.19
1983,1980s,72.7,5.34
1983,1980s,165.2,7.34
1983,1980s,60.5,5.0
1983,1980s,69.9,5.63
1983,1980s,26.4,3.33
1983,1980s,80.8,5.23
1983,1980s,62.8,5.13
1983,1980s,22.6,3.44
1983,1980s,57.7,4.86
1983,1980s,56.5,5.37
1983,1980s,231.0,7.28
1983,1980s,117.3,6.57
1983,1980s,60.5,5.1
1983,1980s,72.3,4.91
1983,1980s,62.0,4.67
1983,1980s,51.5,4.76
1983,1980s,26.6,4.34
1983,1980s,53.6,5.03
1983,1980s,34.3,3.42
1983,1980s,23.5,2.39
1983,1980s,88.0,6.13
1983,1980s,80.5,5.64
1983,1980s,15.7,3.43
1983,1980s,54.7,4.57
1983,1980s,126.6,6.74
1983,1980s,132.8,7.01
1983,1980s,129.5,6.5
1983,1980s,61.8,4.97
1984,1980s,31.8,3.91
1984,1980s,26.6,3.83
1984,1980s,77.7,5.6
1984,1980s,79.7,6.0
1984,1980s,157.6,6.86
1984,1980s,136.9,6.3
1984,1980s,54.3,5.55
1984,1980s,23.6,3.27
1984,1980s,47.2,4.39
1984,1980s,70.6,5.38
1984,1980s,51.6,4.78
1984,1980s,38.9,4.1
1984,1980s,72.5,5.45
1984,1980s,41.1,4.32
1984,1980s,37.5,4.23
1984,1980s,75.8,4.73
1984,1980s,44.4,5.13
1984,1980s,72.1,5.39
1984,1980s,73.6,5.69
1984,1980s,25.5,3.1
1984,1980s,41.8,4.2
1984,1980s,176.4,6.98
1984,1980s,25.1,4.08
1984,1980s,12.3,2.62
1984,1980s,14.8,3.25
1984,1980s,61.3,4.88
1984,1980s,61.4,4.95
1984,1980s,54.9,4.8
1984,1980s,149.2,7.38
1984,1980s,8.1,1.9
1984,1980s,80.7,5.23
1984,1980s,193.5,6.67
1984,1980s,25.8,3.22
1984,1980s,45.1,4.22
1984,1980s,34.1,3.45
1984,1980s,30.7,3.59
1984,1980s,47.0,3.87
1984,1980s,175.0,6.84
1984,1980s,238.0,8.03
1984,1980s,46.6,4.7
1984,1980s,250.4,7.73
1984,1980s,61.6,4.76
1984,1980s,223.5,7.01
1984,1980s,55.9,4.52
1984,1980s,66.2,5.25
1984,1980s,78.9,5.94
1984,1980s,600.0,8.33
1984,1980s,113.6,6.62
1984,1980s,35.3,3.81
1984,1980s,124.1,6.58
1984,1980s,45.7,4.41
1984,1980s,41.6,4.28
1984,1980s,118.6,7.2
1984,1980s,61.4,4.49
1984,1980s,73.9,5.42
1984,1980s,60.6,5.51
1984,1980s,77.2,5.08
1984,1980s,82.5,5.51
1984,1980s,14.0,2.75
1984,1980s,98.9,6.04
1984,1980s,28.7,3.19
1984,1980s,20.3,3.51
1984,1980s,57.4,5.2
1984,1980s,63.9,5.37
1984,1980s,35.7,3.78
1984,1980s,111.9,6.4
1984,1980s,21.9,3.08
1984,1980s,44.2,4.35
1984,1980s,38.7,4.98
1984,1980s,57.9,5.02
1984,1980s,74.0,5.08
1984,1980s,28.2,3.78
1984,1980s,103.3,5.73
1984,1980s,62.9,4.74
1984,1980s,14.5,2.6
1984,1980s,13.8,2.76
1984,1980s,59.4,5.37
1984,1980s,50.8,4.93
1984,1980s,55.5,5.09
1984,1980s,58.8,4.63
1984,1980s,71.1,5.22
1984,1980s,122.1,6.64
1984,1980s,26.1,3.39
1984,1980s,24.9,3.45
1984,1980s,26.4,3.79
1984,1980s,74.5,5.39
1984,1980s,152.6,7.05
1984,1980s,43.4,4.99
1984,1980s,9.2,2.57
1984,1980s,16.7,3.51
1984,1980s,32.1,4.11
1984,1980s,39.5,3.75
1984,1980s,44.2,4.08
1984,1980s,61.8,4.83
1984,1980s,47.5,4.3
1984,1980s,131.8,6.66
1984,1980s,36.1,4.32
1984,1980s,31.4,4.32
1984,1980s,85.9,5.93
1984,1980s,19.0,3.07
1984,1980s,80.4,4.95
1984,1980s,64.8,5.24
1984,1980s,53.7,4.85
1984,1980s,197.5,7.45
1984,1980s,37.6,4.91
1984,1980s,281.3,8.2
1984,1980s,50.7,5.0
1984,1980s,23.0,3.11
1984,1980s,63.2,4.99
1984,1980s,26.8,3.62
1984,1980s,34.1,3.74
1984,1980s,80.8,5.86
1984,1980s,91.0,6.07
1984,1980s,37.6,3.8
1984,1980s,125.8,7.02
1984,1980s,142.9,6.89
1984,1980s,176.2,6.61
1984,1980s,89.2,5.88
1984,1980s,166.8,7.22
1984,1980s,14.6,3.31
1984,1980s,47.3,4.47
1984,1980s,31.3,4.17
1984,1980s,65.6,5.31
1984,1980s,39.1,3.78
1984,1980s,53.0,4.31
1984,1980s,246.2,8.04
1984,1980s,52.8,5.22
1984,1980s,81.8,5.83
1984,1980s,50.4,5.23
1984,1980s,63.5,5.55
1984,1980s,60.3,5.31
